gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2883212765	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/61915644	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.577555	-83.749247	8.0						2018-04-15T08:38:00	15	4	2018	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	61915644		overholtz	2020-10-07T01:28:15	CC_BY_NC_4_0	overholtz	overholtz			2021-06-01T13:09:17.078Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2851028615	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/55672078	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.978317	-83.84021	150.0						2019-10-25T08:53:00	25	10	2019	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	55672078		Marilyn Castillo Muñoz	2020-08-07T04:29:55	CC_BY_NC_4_0	Marilyn Castillo Muñoz	Marilyn Castillo Muñoz			2021-06-01T13:44:32.637Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2851027557	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/55672076	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.978643	-83.838236	150.0						2019-10-25T08:44:00	25	10	2019	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	55672076		Marilyn Castillo Muñoz	2020-08-07T04:29:54	CC_BY_NC_4_0	Marilyn Castillo Muñoz	Marilyn Castillo Muñoz			2021-06-01T12:58:57.591Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2845183105	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/183792610	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.55444	-83.755295	25.0						2019-12-03T00:00:00	3	12	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.183792610				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:16.296Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844984051	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/183830309	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.55444	-83.755295	25.0						2019-12-03T00:00:00	3	12	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.183830309				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:18.126Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844527691	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/170871660	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.562116	-83.75538	5.0						2019-04-17T00:00:00	17	4	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.170871660				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:32.982Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844374362	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/174200220	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.565749	-83.753983	25.0						2019-06-10T00:00:00	10	6	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.174200220				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:30.285Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844304449	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/186177815	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.553975	-83.75576	25.0						2020-03-04T00:00:00	4	3	2020	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.186177815				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:26.023Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2843571013	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/177410774	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.565586	-83.75354	25.0						2019-08-03T00:00:00	3	8	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.177410774				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:24.448Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2843236784	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/186177816	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.554109	-83.755661	25.0						2020-03-04T00:00:00	4	3	2020	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.186177816				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:16.893Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
